datetime,team spirit,confidence
2023-11-12,9,6
2023-11-11,9,6
2023-11-10,7,5
2023-11-09,8,5
2023-11-08,8,5
2023-11-07,8,5
2023-11-06,6,5
2023-11-05,6,5
2023-11-04,6,5
2023-11-03,5,5
2023-11-02,5,5
2023-11-01,5,5
2023-10-31,2,4
2023-10-30,0,4
2023-10-29,0,4
2023-10-28,0,4
2023-10-27,1,4
2023-10-26,1,4
2023-10-25,2,4
2023-10-24,4,4
2023-10-23,4,4
2023-10-22,4,4
2023-10-21,4,4
2023-10-20,4,4
2023-10-19,4,4
2023-10-18,4,4
2023-10-17,4,4
2023-10-16,4,4
2023-10-15,4,4
2023-10-14,4,4
2023-10-13,4,4
2023-10-12,4,4
2023-10-11,4,4
2023-10-10,4,4
2023-10-09,3,4
2023-10-08,3,4
2023-10-07,3,4
2023-10-06,3,4
2023-10-05,3,4
2023-10-04,3,4
2023-10-03,3,4
2023-10-02,3,4
2023-10-01,3,4
2023-09-30,3,4
2023-09-29,3,4
2023-09-28,3,4
2023-09-27,3,4
2023-09-26,2,4
2023-09-25,2,4
2023-09-24,2,4
2023-09-23,4,4
2023-09-22,4,4
2023-09-21,4,4
2023-09-20,4,4
2023-09-19,4,4
2023-09-18,4,4
2023-09-17,4,4
2023-09-16,4,4
2023-09-15,4,4
2023-09-14,4,4
2023-09-13,4,4
2023-09-12,4,4
2023-09-11,4,4
2023-09-10,4,4
2023-09-09,4,4
2023-09-08,4,4
2023-09-07,4,4
2023-09-06,4,4
2023-09-05,3,4
2023-09-04,3,4
2023-09-03,3,4
2023-09-02,3,4
2023-09-01,3,4
2023-08-31,3,4
2023-08-30,3,4
2023-08-29,3,4
2023-08-28,3,4
2023-08-27,3,4
2023-08-26,3,4
2023-08-25,3,4
2023-08-24,2,4
2023-08-23,2,4
2023-08-22,4,4
2023-08-21,4,4
2023-08-20,4,4
2023-08-19,4,4
2023-08-18,4,4
2023-08-17,4,4
2023-08-16,4,4
2023-08-15,3,4
2023-08-14,3,4
2023-08-13,3,4
2023-08-12,3,4
2023-08-11,3,4
2023-08-10,3,4
2023-08-09,3,4
2023-08-08,3,4
2023-08-07,2,3
2023-08-06,2,3
2023-08-05,2,3
2023-08-04,3,3
2023-08-03,2,3
2023-08-02,2,3
2023-08-01,2,3
2023-07-31,2,3
2023-07-30,1,3
2023-07-29,1,3
2023-07-28,4,5
2023-07-27,4,5
2023-07-26,4,5
2023-07-25,4,5
2023-07-24,4,5
2023-07-23,4,5
2023-07-22,4,5
2023-07-21,8,4
2023-07-20,8,4
2023-07-19,8,4
2023-07-18,8,4
2023-07-17,9,4
2023-07-16,9,4
2023-07-15,9,4
2023-07-14,7,3
2023-07-13,7,3
2023-07-12,7,3
2023-07-11,8,3
2023-07-10,8,3
2023-07-09,8,3
2023-07-08,8,3
2023-07-07,8,3
2023-07-06,8,3
2023-07-05,9,3
2023-07-04,9,3
2023-07-03,9,3
2023-07-02,10,3
2023-07-01,10,3
2023-06-30,8,4
2023-06-29,8,4
2023-06-28,8,4
2023-06-27,8,4
2023-06-26,9,4
2023-06-25,9,4
2023-06-24,9,4
2023-06-23,7,4
2023-06-22,7,4
2023-06-21,7,4
2023-06-20,7,4
2023-06-19,8,4
2023-06-18,8,4
2023-06-17,8,4
2023-06-16,8,4
2023-06-15,8,4
2023-06-14,8,4
2023-06-13,9,4
2023-06-12,9,4
2023-06-11,9,4
2023-06-10,9,4
2023-06-09,7,4
2023-06-08,8,4
2023-06-07,8,4
2023-06-06,8,3
2023-06-05,6,4
2023-06-04,6,4
2023-06-03,6,4
2023-06-02,5,5
2023-06-01,5,5
2023-05-31,5,5
2023-05-30,2,4
2023-05-29,1,4
2023-05-28,1,4
2023-05-27,1,4
2023-05-26,8,4
2023-05-25,8,4
2023-05-24,8,4
2023-05-23,8,4
2023-05-22,8,4
2023-05-21,9,4
2023-05-20,9,4
2023-05-19,7,4
2023-05-18,7,4
2023-05-17,7,4
2023-05-16,7,4
2023-05-15,7,4
2023-05-14,8,4
2023-05-13,8,4
2023-05-12,8,4
2023-05-11,8,4
2023-05-10,8,3
2023-05-09,9,3
2023-05-08,9,3
2023-05-07,9,3
2023-05-06,9,3
2023-05-05,8,4
2023-05-04,8,4
2023-05-03,8,4
2023-05-02,8,4
2023-05-01,9,4
2023-04-30,9,4
2023-04-29,9,4
2023-04-28,7,5
2023-04-27,7,5
2023-04-26,8,5
2023-04-25,8,5
2023-04-24,8,5
2023-04-23,8,5
2023-04-22,8,5
2023-04-21,8,5
2023-04-20,9,5
2023-04-19,9,5
2023-04-18,9,5
2023-04-17,9,5
2023-04-16,10,5
2023-04-15,10,5
2023-04-14,8,5
2023-04-13,8,5
2023-04-12,9,5
2023-04-11,9,5
2023-04-10,9,5
2023-04-09,10,5
2023-04-08,10,5
2023-04-07,8,5
2023-04-06,8,5
2023-04-05,8,5
2023-04-04,9,5
2023-04-03,9,5
2023-04-02,9,5
2023-04-01,7,6
2023-03-31,7,6
2023-03-30,8,6
2023-03-29,8,6
2023-03-28,8,6
2023-03-27,6,5
2023-03-26,6,5
2023-03-25,6,5
2023-03-24,5,5
2023-03-23,5,5
2023-03-22,5,5
2023-03-21,1,4
2023-03-20,1,4
2023-03-19,0,4
2023-03-18,4,4
2023-03-17,4,4
2023-03-16,4,4
2023-03-15,4,4
2023-03-14,4,4
2023-03-13,4,4
2023-03-12,4,4
2023-03-11,4,4
2023-03-10,4,4
2023-03-09,4,4
2023-03-08,4,4
2023-03-07,4,4
2023-03-06,4,4
2023-03-05,4,4
2023-03-04,4,4
2023-03-03,4,4
2023-03-02,4,4
2023-03-01,4,4
2023-02-28,4,4
2023-02-27,4,4
2023-02-26,4,4
2023-02-25,4,4
2023-02-24,4,4
2023-02-23,4,4
2023-02-22,4,4
2023-02-21,4,4
2023-02-20,4,4
2023-02-19,4,4
2023-02-18,4,4
2023-02-17,4,4
2023-02-16,4,4
2023-02-15,4,4
2023-02-14,4,4
2023-02-13,4,4
2023-02-12,3,4
2023-02-11,3,4
2023-02-10,3,4
2023-02-09,3,4
2023-02-08,3,4
2023-02-07,3,4
2023-02-06,3,4
2023-02-05,3,4
2023-02-04,3,4
2023-02-03,2,4
2023-02-02,2,4
2023-02-01,2,4
2023-01-31,2,4
2023-01-30,2,4
2023-01-29,1,4
2023-01-28,1,4
2023-01-27,2,4
2023-01-26,2,4
2023-01-25,2,4
2023-01-24,2,4
2023-01-23,6,4
2023-01-22,6,4
2023-01-21,6,4
2023-01-20,6,5
2023-01-19,6,5
2023-01-18,6,5
2023-01-17,8,5
2023-01-16,9,5
2023-01-15,9,5
2023-01-14,9,5
2023-01-13,7,6
2023-01-12,7,6
2023-01-11,8,6
2023-01-10,8,6
2023-01-09,8,6
2023-01-08,8,6
2023-01-07,8,6
2023-01-07,0,6
2023-01-06,2,7
2023-01-06,8,5
2023-01-05,4,6
2023-01-05,9,5
2023-01-04,4,6
2023-01-04,9,5
2023-01-03,9,5
2023-01-03,4,6
2023-01-02,7,5
2023-01-02,4,6
2023-01-01,7,5
2023-01-01,8,5
2022-12-31,7,5
2022-12-30,5,5
2022-12-29,5,5
2022-12-28,6,5
2022-12-27,6,6
2022-12-26,4,5
